NCT Number,Study Title,Study URL,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Age,Phases,Study Type,Study Design,Start Date,Primary Completion Date,Completion Date
NCT05823714,Venetoclax+Azacytidine+Modified BUCY Conditioning Regimen for Acute Myeloid Leukemia and Myelodysplastic Syndromes Undergoing Allo-HSCT,https://clinicaltrials.gov/study/NCT05823714,RECRUITING,"The purpose of this prospective, open-label, single-center study is to evaluate the efficacy and safety of VEN-AZA (venetoclax and azacytidine) followed by modified BUCY (busulfan and cyclophosphamide) as conditioning regimen for high-risk myelodysplastic syndrome (MDS) and high-risk or relapsed/refractory acute myeloid leukemia (AML) undergoing allogeneic hematopoietic stem cell transplantation (allo-HSCT).",NO,Allogeneic Hematopoietic Stem Cell Transplantation|Acute Myeloid Leukemia|Myelodysplastic Syndrome,DRUG: VEN+AZA+Modified BUCY,"disease-free survival (DFS), It is measured from the time from randomization to the first of relapse or death., 3 years after transplantation|overall survival (OS), It is measured from the time of entry into this trial to the date of death from any cause; patients not known to have died at last follow-up are censored on the date they were last known to be alive., 3 years after transplantation","veno-occlusive disease (VOD), incidence of veno-occlusive disease (VOD) events (refer to modified Seattle Criteria of VOD), 3 years after transplantation|graft-versus-host disease (GvHD), incidence and severity of acute (aGvHD) and chronic graft-versus-host disease (cGvHD) (aGvHD refer to Glucksberg Criteria and cGvHD refer to the National Institutes of Health Consensus), 3 years after transplantation|transplant related mortality (TRM), cumulative incidence of transplant related mortality, 3 years after transplantation|Regimen related toxicity, Number of participants with conditioning regimen related toxicity, 3 years after transplantation",,The First Affiliated Hospital of Soochow University,,"CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2022-01-20,2025-01-20,2026-01-20
NCT06744504,Standard-dose vs Intermediate-dose Cytarabine Induction in the Treatment of Acute Myeloid Leukemia With RUNX1-RUNX1T1,https://clinicaltrials.gov/study/NCT06744504,NOT_YET_RECRUITING,"Leukemia is one of the common malignant tumors that threaten human health. Although the efficacy of AML treatment has improved significantly in recent years, it remains one of the major diseases threatening human health. Current research on AML treatment mainly has two directions. One is the addition of new targeted therapy drugs, and the other research direction is to enhance the intensity of AML chemotherapy, including the use of large doses of anthracycline drugs or the use of high-dose cytarabine treatment.

Since the 1990s, induction remission has been achieved by using anthracyclines in combination with high-dose cytarabine. The ECOG (Eastern Cooperative Oncology Group) contends that high-dose induction chemotherapy fails to enhance the bone marrow remission rate but elevates the chemotherapy-related mortality rate. Bradstock and the Australian Group also noted that although it does not increase the bone marrow remission rate, it can result in longer survival time and disease-free survival time. The clinical study from EORTC-GIMEMA AML-12 discovered that AML patients under the age of 45 could benefit from induction therapy incorporating high-dose cytarabine. In our previous randomized controlled clinical trials, it was found that the HAD and DA regimens containing intermediate-dose cytarabine could enhance the complete remission rate and improve the overall survival of adult AML. However, the degree of benefit varies among different AML subgroups.

The abnormalities of RUNX1-RUNX1T1 and CBFβ-MYH11 respectively involve a subunit of CBF (core binding factor), thus the two are collectively called CBF leukemia. Previous retrospective studies show that this type of leukemia benefits from intensified treatment regimens such as FLAG. However, at present, there is a lack of prospective randomized controlled clinical studies to confirm this. Therefore, in this study, we intend to further verify through a prospective randomized controlled clinical trial whether the induction treatment regimen containing intermediate-dose cytarabine can improve the long-term efficacy of adult RUNX1-RUNX1T1 acute myeloid leukemia.",NO,AML|RUNX1-RUNX1T1 Fusion Protein Expression,DRUG: cytarabine|DRUG: daunorubicin|DRUG: idarubicin|DRUG: cyclophosphamide,"overall survival, Used to evaluate all patients who enter clinical trials. From the date of entry into the trial until the date of patient death (including any cause) or last survival follow-up., up to 2 years after the date of the last enrolled participants","Complete remission (CR)/CR with partial hematologic recovery (CRh)/CR with incomplete hematologic recovery (CRi) rate, the ratio of patients achieved CR/CRh/CRi, up to12 months after the date of the last enrolled participants|Complete remission (CR)/CR with partial hematologic recovery (CRh)/CR with incomplete hematologic recovery (CRi) rate after induction therapy, The ratio of patients achieved CR/CRh/CRi after induction therapy., up to 3 months after the date of the last enrolled participants|RUNX1::RUNX1T1 minimal residual disease (MRD) reduction >3 logs after 2 courses, RUNX1::RUNX1T1 MRD is measured by real-time PCR., up to 2 years after the date of the last enrolled participants|RUNX1::RUNX1T1 molecular MRD undectable rate, MRD levels monitored by polymerase chain reaction are associated with outcomes in acute myeloid leukemia with RUNX1-RUNX1T1., up to 2 years after the date of the last enrolled participants|Relapse-free survival (RFS), Defined only for patients achieving CRc; measured from the date of achievement of remission until the date of hematologic relapse or death from any cause; patients not known to have relapsed or died at last follow-up are censored on the date they were last known to be alive, up to 2 years after the date of the last enrolled participants|Event-free survival (EFS), All patients definitions for the trial; From the date of enrollment to the time of treatment failure after two courses of induction therapy, recurrence after CRc, date of all-cause death, or the date of last survival follow-up., up to 2 years after the date of the last enrolled participants|30-day mortality, Percentage of patients who died within 30 days from enrollment., within 30 days of the date of the last enrolled participants|60-day mortality, Percentage of patients who died within 60 days from enrollment, within 60 days of the date of the last enrolled participants",,"Institute of Hematology & Blood Diseases Hospital, China",,"CHILD, ADULT",PHASE3,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2024-12-25,2027-12-01,2029-12-01
NCT05247957,NKG2D CAR-NK Cell Therapy in Patients With Relapsed or Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT05247957,TERMINATED,"This trial will explore the maximum tolerated dose of cord blood NKG2D CAR-NK in the treatment of recurrent refractory acute myeloid leukemia in a dose-escalation manner, and observe its clinical safety and efficacy.",NO,Safety and Efficacy,BIOLOGICAL: CAR-NK cells,"Dose-Limiting Toxicity, To evaluate the clinical safety and short-term efficacy of NKG2D ligand-specific umbilical cord blood CAR-NK cells in the treatment of patients with relapsed refractory acute myeloid leukemia by intravenous infusion, 28 days|Maximal Tolerable Dose, tolerability evaluationtransplantation after intravenous infusion of NKG2D ligand-specific umbilical cord blood CAR-NK cells for patients with relapsed refractory acute myeloid leukemia, 28 days","leukemia-free survival#LFS#, leukemia-free survival, 52weeks",,"Hangzhou Cheetah Cell Therapeutics Co., Ltd",,"CHILD, ADULT, OLDER_ADULT",NA,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-10-13,2022-12-12,2022-12-20
NCT05796570,"A Pilot Study to Evaluate the Feasibility of Post-Hematopoietic Stem Cell Transplant Prophylaxis with Decitabine Combined with Filgrastim for Children and Young Adults with AML, MDS and Related Myeloid Malignancies",https://clinicaltrials.gov/study/NCT05796570,RECRUITING,"The purpose of this study is to examine if it is feasible to administer decitabine and filgrastim after allogenic hematopoietic stem cell transplant (HCT) in children and young adults with myelodysplastic syndrome, acute myeloid leukemia and related myeloid disorders, and if the treatment is effective in preventing relapse after HCT.

The names of the study drugs involved in this study are:

* Decitabine (a nucleoside metabolic inhibitor)
* Filgrastim (a recombinant granulocyte colony-stimulating factor (G-CSF)",NO,Acute Myeloid Leukemia|Myelodysplastic Syndromes|Myeloid Malignancies|MDS|Inherited Bone Marrow Failure Syndrome|Myeloid Neoplasm|Aml,DRUG: Decitabine|DRUG: Filgrastim,"Feasibility Failure Rate (FFR), Feasibility failure relates to decitabine exposure in the setting of post-hematopoietic stem cell transplant (HCT) maintenance and in combination with filgrastim; FFR is defined as the proportion of participants that do not initiate at least 5 of 6 planned cycles and/or receive fewer than 22/30 overall planned decitabine doses during maintenance phase., Treatment duration up to 6 cycles (28 days/cycle) or 168 days","24-Month Probability Event-Free Survival (EFS), EFS based on the Kaplan-Meier method is defined as the time from HCT until evidence of relapse of myelodysplastic syndrome (MDS) or leukemia, or death from any cause. Participants without an event are censored at the date of last follow-up., Up to 24 months|24-Month Probability Overall Survival (OS), OS based on the Kaplan-Meier method is defined as the time from HCT to death or censored at date of last follow-up, Up to 24 months|Treatment Tolerability Rate (TTR), Tolerability is based on select adverse events (AE) deemed probably of definitely related to decitabine; TTR is the proportion of participants with grade 4 non-hematologic (NH) AEs except infection and febrile neutropenia, grade 3 NH AEs causing a delay in treatment by \>14 days, and hematologic AEs including ANC\<500 cells/uL or platelet count\<10,000 cells for \>1 week despite supportive care as well as day 28 ANC and platelet target levels or graft failure., Up to the end of cycle 6 (28 days/cycle), or 168 days + 36 days post-treatment",,Franziska Wachter,Harvard Clinical and Translational Science Center (Harvard Catalyst),"CHILD, ADULT",PHASE2,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,2023-04-19,2026-09-01,2029-09-01
NCT05995028,Universal 4SCAR7U Targeting CD7-positive Malignancies,https://clinicaltrials.gov/study/NCT05995028,RECRUITING,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of universal CAR T cells based on 4SCAR7U design against CD7-positive hematological malignancies using CD7 specific universal CAR T cells. The study also aims to learn more about the function of CD7 targeting CAR T cells and their persistence in patients of hematological malignancies.",NO,T-cell Acute Lymphoblastic Leukemia|T-cell Acute Lymphoblastic Lymphoma|Acute Myeloid Leukemia|NK Cell Lymphoma,BIOLOGICAL: Universal CD7-specific CAR gene-engineered T cells,"Safety of infusion, Treatment-related adverse events are assessed by NCI CTCAE V4.0 criteria., 6 months","Clinical response, Objective responses (complete response (CR) + partial response (PR)) are assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria., 1 year",,Shenzhen Geno-Immune Medical Institute,,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2023-10-31,2026-09-30,2026-12-31
NCT05077423,A Phase 1 Trial of CD33xCD3 BsAb in Pediatric Patients With Relapsed or Refractory Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT05077423,TERMINATED,Pediatric patients (\<21 years at study entry) with relapsed or refractory acute myeloid leukemia (AML) will be treated with CD33\*CD3 a bispecific antibody to investigate the safety and tolerability of the drug.,NO,"AML, Childhood",DRUG: CD33*CD3 BsAb,"Occurrence of dose limiting toxicities (DLTs), Occurrence of DLTs during a DLT period ., 28 days|Occurrence of Adverse Events, Occurrence of Adverse Events during the trial, 52 weeks",,,Y-mAbs Therapeutics,Children's Oncology Group,"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2022-05-25,2022-12-01,2022-12-01
NCT04888741,Methods of T Cell Depletion Trial (MoTD),https://clinicaltrials.gov/study/NCT04888741,RECRUITING,A multi-centre phase II trial of GvHD prophylaxis following unrelated donor stem cell transplantation comparing Thymoglobulin vs. Calcineurin inhibitor or Sirolimus-based post-transplant cyclophosphamide.,NO,Acute Myeloid Leukemia|Acute Lymphoblastic Leukemia|Chronic Myelomonocytic Leukemia|Myelodysplastic Syndromes|Non Hodgkin Lymphoma|Hodgkin Lymphoma|Multiple Myeloma|Chronic Myelogenous Leukemia|Myelofibrosis,DRUG: Thymoglobulin|DRUG: Cyclophosphamide|DRUG: Cyclosporine|DRUG: Sirolimus|DRUG: Mycophenolate Mofetil,"GVHD-free, relapse-free survival, GVHD assessment scoring will be performed as per the modified Glucksberg criteria (revised by MAGIC) and the National Institutes of Health (NIH) criteria. GvHD-free, relapse-free survival (GRFS) defined as the time from date of day 0 (defined as the day of stem cell infusion) to the date of first event or death from any cause. An event is defined as GvHD (both acute and chronic), relapse or progression. Patients who are alive and event free at the end of the trial will be censored at their date of last follow-up, at 1 year","Cumulative incidence of acute grade II-IV and III-IV GvHD, GVHD assessment scoring will be performed as per the modified Glucksberg criteria (revised by MAGIC) and the National Institutes of Health (NIH) criteria. GvHD-free, at 1 year|Cumulative incidence of moderate and severe chronic GvHD, GVHD assessment scoring will be performed as per the modified Glucksberg criteria (revised by MAGIC) and the National Institutes of Health (NIH) criteria. GvHD-free, at 1 year|Cumulative incidence of NRM, Non-relapse mortality (NRM) is defined as the time from day 0 to date of non-relapse death. Patients who die post-relapse from any other cause will be considered a competing risk and patients alive at the end of the trial will be censored at their date last seen., at 1 year|Overall survival, Overall survival (OS) is defined as the time from day 0 to date of death, from any cause. Patients who are alive at the end of the trial will be censored at their date last seen., at 1 year|Progression-free survival, Progression-free survival (PFS) is defined as the time from day 0 to date of first relapse/progression or death from any cause. Patients who are alive and progression free at the end of the trial will be censored at their date last seen., at 1 year|Immune suppression-free survival, Immune suppression-free survival is defined as time from day 0 to the date of first immunosuppressive agent use. Patients who are alive and immune suppression free at the end of the trial will be censored at their date last seen, at 1 year|Cumulative incidence of engraftment, Cumulative incidence of engraftment defined as time from day 0 to date of engraftment (Neutrophil engraftment defined to be the first of 3 consecutive days a neutrophil count ≥ 0.5×〖10〗\^9/L is reached and platelet engraftment defined to be the first of 3 consecutive days an unsupported platelet count ≥ 20×〖10〗\^9/L is reached). Patients who relapse/progress or die prior to relapse, progression or engraftment will be considered a competing risk at their date of relapse/progression for the former and date of death for the latter. Patients alive and engraftment free at the end of the trial will be censored at their date last seen., at 1 year|The incidence of full donor chimerism, Engraftment will be assessed by lineage specific chimerism measurements. Lineage specific chimerism in both whole blood and T-cell compartments (where possible) will be assessed as per local procedure, performed at 3 monthly intervals for the first 12 months post-transplant; at day 100 and then months 6, 9 and 12. Tests should be performed in local laboratories., at 100 days|The cumulative incidence of infection requiring inpatient admission, The cumulative incidence of infection requiring inpatient admission measured by blood test and tissue culture at 1 year, at 1 year|The number of inpatient days, The sum of inpatients days, during first 12 months|The timing of mixed chimerism, persistent disease or relapse, We will be recording the time (days, post-transplant) whenever mixed chimerism, persistent disease or relapse occurred post transplant, during first 12 months|Cumulative incidence of EBV-related PTLD, Measured by blood sample, EBV PCR testing., during first 12 months|The number of doses of Rituximab administered for EBV reactivation, We will collect the number of doses every time the patient will receive Rituximab whenever there is EBV reactivation, during first 12 months|QoL measured by FACT-BMT questionnaire, QoL measured by FACT-BMT questionnaire at baseline, 6 months and 12 months. FACT-BMT Questionnaire uses Units on a scale 0-4, higher scores mean a better outcome., at baseline, 6 months and 12 months|Cumulative incidence of patients with haemorrhagic cystitis, Cumulative incidence of patients with haemorrhagic cystitis measured by blood and urine sample at 1 year, at 1 year|Cumulative incidence of CMV viremia and CMV end-organ disease, Cumulative incidence of CMV viremia and CMV end-organ disease measured by blood sample at 1 year, at 1 year|Safety defined as the incidence of ≥ grade 3 toxicities reported as per the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) V4.0, . Safety defined as the incidence of ≥ grade 3 toxicities reported as per the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) v4.0. Details of all AEs will be documented and reported from the date of commencement of protocol defined treatment until 28 days after the administration of the last dose of IMP. Serious AEs will be reported from the date of consent., from the date of commencement of protocol defined treatment until 28 days after the administration of the last dose of IMP.|Tolerability defined to be the number of patients able to complete therapy as scheduled, Tolerability defined to be the number of patients able to complete therapy as scheduled (excluding any patients who discontinued treatment due to toxicities, during first 12 months|Dose of Donor lymphocyte infusion (DLI) for mixed chimerism, persistent disease or relapse, We will be collecting the dose of DLI (CD3 Cells/kg) whenever required for mixed chimerism, persistent disease or relapse, during first 12 months",,University of Birmingham,"IMPACT (funded by NHS Blood & Transplant, Anthony Nolan and Leukaemia UK)","CHILD, ADULT, OLDER_ADULT",PHASE2,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2021-02-22,2026-01,2026-01
NCT04891757,FHD-286 as Monotherapy or Combination Therapy in Subjects With Advanced Hematologic Malignancies,https://clinicaltrials.gov/study/NCT04891757,RECRUITING,"This Phase 1, multicenter, open-label, dose escalation study is designed to assess the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD), and preliminary clinical activity of FHD-286 administered orally as monotherapy or combination therapy, in subjects with advanced hematologic malignancies.",NO,Advanced Hematologic Malignancy|Relapsed Acute Myeloid Leukemia|Refractory Acute Myeloid Leukemia|Relapsed Myelodysplastic Syndromes|Refractory Myelodysplastic Syndromes|Relapsed Chronic Myelomonocytic Leukemia|Refractory Chronic Myelomonocytic Leukemia,DRUG: FHD-286|DRUG: Low Dose Cytarabine|DRUG: Decitabine,"Incidence of AEs, dose-limiting toxicities (DLTs), serious AEs (SAEs), AEs leading to discontinuation, and adverse events of special interest (AESIs); safety laboratory assessments, Up to 18 months","AML: Complete remission (CR) rate, Up to 18 months|AML: Duration of CR, Up 18 months|AML: CR + CR with partial hematologic recovery (CRh) rate, Up 18 months|AML: Duration of CR + CRh, Up 18 months|AML: Transfusion independence rate, Up 18 months|AML: Event free survival (EFS), Up 42 months|AML: Overall survival (OS), Up to 42 months|MDS: CR rate, Up to 18 months|MDS & CMML: Duration of CR, Up to 18 months|MDS & CMML: Partial remission (PR) rate, Up to 18 months|MDS & CMML: Duration of PR, Up to 18 months|MDS & CMML: CR + PR, Up to 18 months|MDS & CMML: Duration of CR + PR, Up to 18 months|MDS & CMML: Hematologic Improvement rate, Up to 18 months|MDS & CMML: EFS, Up to 42 months|MDS: OS, Up to 42 months|PK parameter: Area under the plasma concentration time curve (AUC), Day 1 and day 8 of cycle 1 (each cycle is 28 days)|Plasma concentration vs. time profiles, Day 1 and day 8 of cycle 1 (each cycle is 28 days)",,Foghorn Therapeutics Inc.,,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2021-06-14,2025-09,2027-06
NCT03560908,Dasatinib Combined With Chemotherapy in Relapsed t(8;21) Acute Myeloid Leukemia With KIT D816 Mutation,https://clinicaltrials.gov/study/NCT03560908,WITHDRAWN,"In this multi-center, open-label, no control,prospective clinical trial, a total of 30 relapsed acute myeloid leukemia with t(8;21) translocation and KIT D816 mutation patients will be enrolled. Dasatinib 70 mg twice a day will be administrated for two weeks from day 1 of re-induction chemotherapy. The purpose of current study is to determine the clinical efficacy and tolerability of combination therapy of dasatinib with multi-agent chemotherapy in relapsed acute myeloid leukemia with t(8;21) translocation and KIT D816 mutation.",NO,Relapsed AML|T(8;21)|C-KIT Mutation,DRUG: Dasatinib,"composite complete remission (CR) rate, confirmed rate of complete remission (CR) plus complete remission with incomplete blood count(CRi), 8 weeks","mortality during induction chemotherapy, all deaths from start of chemotherapy, 30 days|post relapsed overall survival, 2 years overall survival from the date of relapse, 2 years|overall survival, 5 years overall survival from the date of diagnosis, 5 years|post relapsed disease free survival, 2 years disease free survival from the date of new complete remission, 2 years",,"Institute of Hematology & Blood Diseases Hospital, China",,"CHILD, ADULT, OLDER_ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2018-07-01,2020-12-31,2021-12-31
NCT06247787,"A Study to Find the Highest Dose of Imetelstat in Combination With Fludarabine and Cytarabine for Patients With AML, MDS or JMML That Has Come Back or Does Not Respond to Therapy",https://clinicaltrials.gov/study/NCT06247787,RECRUITING,"This phase I trial tests the safety, side effects, and best dose of imetelstat in combination with fludarabine and cytarabine in treating patients with acute myeloid leukemia (AML), myelodysplastic syndrome (MDS) or juvenile myelomonocytic leukemia (JMML) that has not responded to previous treatment (refractory) or that has come back after a period of improvement (recurrent). Imetelstat may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth. Chemotherapy drugs, such as fludarabine and cytarabine, work in different ways to stop the growth of cancer cells, either by killing the cells, by stopping them from dividing, or by stopping them from spreading. Giving imetelstat in combination with fludarabine and cytarabine may work better in treating patients with refractory or recurrent AML, MDS, and JMML.",NO,Recurrent Childhood Acute Myeloid Leukemia|Recurrent Childhood Myelodysplastic Syndrome|Recurrent Juvenile Myelomonocytic Leukemia|Refractory Childhood Acute Myeloid Leukemia|Refractory Childhood Myelodysplastic Syndrome|Refractory Juvenile Myelomonocytic Leukemia,PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Aspiration|PROCEDURE: Bone Marrow Biopsy|DRUG: Cytarabine|PROCEDURE: Echocardiography|DRUG: Fludarabine|DRUG: Hydrocortisone Sodium Succinate|BIOLOGICAL: Imetelstat|DRUG: Leucovorin Calcium|PROCEDURE: Lumbar Puncture|DRUG: Methotrexate,"Dose limiting toxicities of imetelstat administered in combination with fludarabine and cytarabine, Frequency percent (%) of patients with acute myeloid leukemia (AML) in second or greater relapse or refractory to relapse therapy who experience a cycle 1 dose limiting toxicity to imetelstat administered in combination with fludarabine and cytarabine stratified by dose level., During cycle 1 of therapy (each cycle is 28 days)","Incidence of adverse events of imetelstat administered in combination with fludarabine and cytarabine, Frequency (%) of patients with acute myeloid leukemia in second or greater relapse or refractory to relapse therapy who experience adverse events at least possibly attributable to imetelstat administered in combination with fludarabine and cytarabine stratified by dose level graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events version 5.0., Up to 2 years from study entry|Area under the drug concentration curve of imetelstat administered in combination with fludarabine and cytarabine, Median (minimum \[min\], maximum \[max\]) of the area under the drug concentration curve of imetelstat administered in combination with fludarabine and cytarabine assessed during cycle 1 at 0, 0.5, 1, 4-5, 6-8 and 24-hours post administration., Up to 24 hours|Maximum serum concentration of imetelstat administered in combination with fludarabine and cytarabine, Median (min, max) of the maximum serum concentration of imetelstat administered in combination with fludarabine and cytarabine assessed during cycle 1 at 0, 0.5, 1, 4-5, 6-8 and 24-hours post administration., Up to 24 hours|Clearance of imetelstat administered in combination with fludarabine and cytarabine, Median (min, max) of the clearance of imetelstat administered in combination with fludarabine and cytarabine assessed during cycle 1 at 0, 0.5, 1, 4-5, 6-8 and 24-hours post administration., Up to 24 hours|Half-life of imetelstat administered in combination with fludarabine and cytarabine, Median (min, max) of the half-life of imetelstat administered in combination with fludarabine and cytarabine assessed during cycle 1 at 0, 0.5, 1, 4-5, 6-8 and 24-hours post administration., Up to 24 hours|PK parameters: Volume of distribution, Median (min, max) volume of distribution of imetelstat administered in combination with fludarabine and cytarabine assessed during cycle 1 at 0, 0.5, 1, 4-5, 6-8, and 24 hours post administration., Up to 24 hours|Antileukemic activity of imetelstat administered in combination with fludarabine and cytarabine, Frequency (%) of patients with best overall response of complete remission, partial response, or complete remission with incomplete blood count recovery after up to two cycles of therapy with imetelstat administered in combination with fludarabine and cytarabine., Up to 56 days|Overall survival (OS) of imetelstat administered in combination with fludarabine and cytarabine, Kaplan-Meier survival curves will estimate the median (95% CI) overall time-to-death due to any cause cause and stratified by dose level., Up to 5 years from study entry","Pharmacodynamics, Will characterize the pharmacodynamic properties of imetelstat in pediatric patients with refractory or second or greater relapse of AML, or first or greater relapse of myelodysplastic syndrome, or juvenile myelomonocytic leukemia., Up to 2 years|Telomerase activity, Will be assessed in peripheral blood mononuclear cells., Cycle 1 day 1, pre-dose and cycle 1 day 2 at 24 hours (each cycle is 28 days)|Cytogenetic abnormalities, Compare baseline cytogenetic abnormalities vs. change of cytogenetic abnormalities after treatment., At baseline and after cycle 2 (each cycle is 28 days)|Mutational status, Compare baseline mutational status vs. change of mutational status after treatment., After cycle 1 and 2",Children's Oncology Group,Geron Corporation|National Cancer Institute (NCI),"CHILD, ADULT",PHASE1,INTERVENTIONAL,Allocation: NA|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,2025-02-04,2026-06-30,2026-06-30
NCT04033302,Multi-CAR T Cell Therapy Targeting CD7-positive Malignancies,https://clinicaltrials.gov/study/NCT04033302,UNKNOWN,"The purpose of this clinical trial is to assess the feasibility, safety and efficacy of CAR T cell therapy against CD7-positive hematological malignancies using CD7 specific CAR T cells. The study also aims to learn more about the function of CD7 CAR T cells and their persistence in patients of hematological malignancies.",NO,T-cell Acute Lymphoblastic Leukemia|T-cell Acute Lymphoblastic Lymphoma|Acute Myeloid Leukemia|NK Cell Lymphoma,BIOLOGICAL: CD7-specific CAR gene-engineered T cells,"Safety of infusion, Treatment-related adverse events are assessed by NCI CTCAE V4.0 criteria., a year","Clinical response, Objective responses (complete response (CR) + partial response (PR)) are assessed by the Response Evaluation Criteria in Solid Tumors (RECIST) v1.1 criteria., a year",,Shenzhen Geno-Immune Medical Institute,,"CHILD, ADULT, OLDER_ADULT",PHASE1|PHASE2,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2019-09-01,2021-07-31,2023-12-31
